student_id,action,timestamp
u18105883,Obama,1716653223032
u18105883,remote log written,1716653312233
u18105883,Soda,1716653312232
u18105883,login,1716654712522
u18105883,login,1716654750167
u18105883,login,1716654823948
u18105883,login,1716654855769
u18105883,login,1716654903805
a87654321,login,1716655010706
u18105883,login,1716655052257
u18105883,logout,1716655160907
u18105883,remote log written,1716655160908
u18105883,login,1716655171206
u18105883,login,1716655214776
u18105883,login,1716655307414
u18105883,login failed,1716655338102
u18105883,login,1716655353538
u18105883,login,1716655369331
u18105883,login,1716655443544
a87654321,login,1716655596017
u18105883,login,1716655615795
u18105883,login,1716655721654
u18105883,login,1716655776758
u18105883,login,1716655854709
u18105883,login,1716655899596
u18105883,login,1716656014300
u18105883,login,1716656209831
u18105883,login,1716656322774
u18105883,remote log written,1716656811618
u18105883,logout,1716656811618
u18105883,login,1716656820398
u18105883,logout,1716656826698
u18105883,remote log written,1716656826698
a87654321,login,1716656832674
u18105883,login,1716661839805
u18105883,rejeceted promise,1716661846937
u18105883,module regsitration failed,1716661846938
u18105883,rejeceted promise,1716662015527
u18105883,module regsitration failed,1716662015527
u18105883,deregistered module,1716662473973
u18105883,module regsitration failed,1716662515930
u18105883,rejeceted promise,1716662515930
u18105883,deregistered module,1716662698569
u18105883,rejected promise,1716662800426
u18105883,module regsitration failed,1716662800427
u18105883,registered module,1716663290855
u18105883,logout,1716664039281
u18105883,remote log written,1716664039282
a87654321,login,1716664058039
